Pays,Club,Championnat,Etoiles
England,Chesterfield,EFL League Two,1.00 
England,Grimsby Town,EFL League Two,1.00 
England,MK Dons,EFL League Two,1.50 
England,Morecambe,EFL League Two,1.00 
England,Notts County,EFL League Two,1.50 
England,Barrow,EFL League Two,1.00 
England,Bromley FC,EFL League Two,0.50 
England,Newport County,EFL League Two,1.00 
England,Harrogate Town,EFL League Two,1.00 
England,AFC Wimbledon,EFL League Two,1.00 
England,Fleetwood Town,EFL League Two,1.00 
England,Salford City,EFL League Two,1.00 
Saudi Arabia,Al Hilal,ROSHN Saudi League,4.00 
Saudi Arabia,Ettifaq FC,ROSHN Saudi League,3.00 
Saudi Arabia,Al Ittihad,ROSHN Saudi League,3.50 
Saudi Arabia,Al Shabab,ROSHN Saudi League,3.00 
Saudi Arabia,Al Ahli,ROSHN Saudi League,3.50 
Saudi Arabia,Al Wehdah,ROSHN Saudi League,1.50 
Saudi Arabia,Al Nassr,ROSHN Saudi League,4.00 
Saudi Arabia,Al Raed,ROSHN Saudi League,1.50 
Saudi Arabia,Al Fateh,ROSHN Saudi League,2.00 
Saudi Arabia,Al Qadisiyah,ROSHN Saudi League,3.00 
Saudi Arabia,Al Taawoun,ROSHN Saudi League,2.50 
Saudi Arabia,Al Khaleej,ROSHN Saudi League,2.00 
Saudi Arabia,Al Riyadh,ROSHN Saudi League,2.00 
Saudi Arabia,Al Orobah,ROSHN Saudi League,0.50 
Saudi Arabia,Damac FC,ROSHN Saudi League,2.00 
Saudi Arabia,Al Fayha,ROSHN Saudi League,1.00 
Saudi Arabia,Al Okhdood,ROSHN Saudi League,1.00 
Saudi Arabia,Al Kholood,ROSHN Saudi League,1.00 
Argentina,Argentinos Jrs.,LPF,3.50 
Argentina,Atletico Tucuman,LPF,3.00 
Argentina,Banfield,LPF,2.50 
Argentina,Barracas Central,LPF,2.50 
Argentina,Belgrano,LPF,3.00 
Argentina,Boca Juniors,LPF,4.00 
Argentina,Central Cordoba,LPF,2.00 
Argentina,Defensa,LPF,3.00 
Argentina,Dep. Riestra,LPF,2.00 
Argentina,Estudiantes,LPF,3.50 
Argentina,Gimnasia,LPF,3.00 
Argentina,Godoy Cruz,LPF,3.00 
Argentina,Huracan,LPF,3.00 
Argentina,Ind. Rivadavia,LPF,2.50 
Argentina,Independiente,LPF,3.00 
Argentina,Instituto,LPF,3.00 
Argentina,Lanus,LPF,3.50 
Argentina,Newell's,LPF,3.00 
Argentina,Platense,LPF,3.00 
Argentina,Racing Club,LPF,3.50 
Argentina,River Plate,LPF,4.00 
Argentina,Rosario Central,LPF,3.50 
Argentina,San Lorenzo,LPF,3.50 
Argentina,Sarmiento,LPF,3.00 
Argentina,Talleres,LPF,3.50 
Argentina,Tigre,LPF,2.50 
Argentina,Union,LPF,3.00 
Argentina,Velez Sarsfield,LPF,3.50 
Australia,Adelaide United,A-League,1.00 
Australia,Auckland FC,A-League,1.00 
Australia,Brisbane Roar,A-League,1.00 
Australia,Central Coast,A-League,1.00 
Australia,MacArthur FC,A-League,1.50 
Australia,Melb. Victory,A-League,1.50 
Australia,Melbourne City,A-League,1.50 
Australia,Newcastle Jets,A-League,1.00 
Australia,Perth Glory,A-League,1.00 
Australia,Sydney FC,A-League,1.00 
Australia,Well. Phoenix,A-League,1.00 
Australia,Western United,A-League,1.00 
Australia,WS Wanderers,A-League,1.50 
Austria,Austria Klagenfurt,O. Bundesliga,1.50 
Austria,Austria Vienne,O. Bundesliga,2.50 
Austria,Blau-Weiss linz,O. Bundesliga,1.50 
Austria,Grazer AK,O. Bundesliga,1.50 
Austria,LASK,O. Bundesliga,3.00 
Austria,RB Salzbourg,O. Bundesliga,3.50 
Austria,SCR Altach,O. Bundesliga,2.00 
Austria,SK Rapid,O. Bundesliga,3.00 
Austria,SK Sturm Graz,O. Bundesliga,3.00 
Austria,TSV Hartberg,O. Bundesliga,2.00 
Austria,Wolfsberger AC,O. Bundesliga,2.00 
Austria,WSG Tirol,O. Bundesliga,1.50 
Belgium,Royal Antwerp FC,1A Pro League,3.50 
Belgium,RSC Anderlecht,1A Pro League,3.50 
Belgium,K. Beerschot VA,1A Pro League,1.50 
Belgium,Cercle Bruges,1A Pro League,3.00 
Belgium,Sp. Charleroi,1A Pro League,2.50 
Belgium,Club Bruges,1A Pro League,4.00 
Belgium,KV Courtrai,1A Pro League,2.50 
Belgium,FCV Dender EH,1A Pro League,1.50 
Belgium,KRC Genk,1A Pro League,3.50 
Belgium,KAA La Gantoise,1A Pro League,3.50 
Belgium,OH Louvain,1A Pro League,3.00 
Belgium,FC Malines,1A Pro League,3.00 
Belgium,R. Union St.-G.,1A Pro League,3.50 
Belgium,STVV,1A Pro League,2.00 
